file,id,episode,category,start,end,dur,method,cutaways,note,holds,cuts,tags
S03E10_S03E10-kent_brockman-02_kent_brockman.mp4,S03E10-kent_brockman-02,S03E10,kent_brockman,00:17:31.78,00:17:41.13,9.350,mask,1,,00:17:31.78-00:17:33.83; 00:17:35.67-00:17:39.08,,kent_brockman
S03E11_S03E11-itchy_scratchy-00_itchy_scratchy.mp4,S03E11-itchy_scratchy-00,S03E11,itchy_scratchy,00:04:02.31,00:04:17.65,15.340,bezel,0,,00:04:02.31-00:04:03.86,,itchy_scratchy
S03E13_S03E13-advert-00_advert.mp4,S03E13-advert-00,S03E13,advert,00:01:50,00:02:29.996,36.432,bezel,1,,00:01:50.000-00:01:51.353; 00:02:10.457*-00:02:10.493; 00:02:22.832*-00:02:22.868; 00:02:29.960*-00:02:29.996,00:02:10.493-00:02:11.714; 00:02:22.868-00:02:25.211,advert
S03E13_S03E13-screen-04_screen.mp4,S03E13-screen-04,S03E13,screen,00:04:32.23,00:04:47.99,15.760,screen_only,1,,00:04:35.072-00:04:38.090,,screen
S03E13_S03E13-screen-05_kent_brockman_krusty_music.mp4,S03E13-screen-05,S03E13,kent_brockman+krusty+music,00:11:58.61,00:13:28.96,90.350,screen_only,0,,00:11:58.61-00:11:59.36,,kent_brockman+krusty+music
S03E13_S03E13-kent_brockman-02_kent_brockman_itchy_scratchy.mp4,S03E13-kent_brockman-02,S03E13,kent_brockman+itchy_scratchy,00:13:46.16,00:14:44.22,49.527,bezel,1,,00:13:46.160-00:13:50.420; 00:14:13.223*-00:14:13.255; 00:14:17.249*-00:14:17.281; 00:14:23.900-00:14:25.700,00:14:13.255-00:14:15.169; 00:14:17.281-00:14:23.90,itchy_scratchy+kent_brockman
S03E13_S03E13-kent_brockman-03_kent_brockman.mp4,S03E13-kent_brockman-03,S03E13,kent_brockman,00:20:18.75,00:20:27.240,8.490,bezel,0,,00:20:27.212*-00:20:27.240,,kent_brockman
S03E14_S03E14-bumper-00_bumper.mp4,S03E14-bumper-00,S03E14,bumper,00:01:18,00:01:34.500,15.317,bezel,1,,00:01:18.00-00:01:18.65; 00:01:27.73-00:01:31.56,00:01:26.547-00:01:27.73,bumper
S03E14_S03E14-screen-02_sports_news.mp4,S03E14-screen-02,S03E14,sports+news,00:03:51.41,00:04:47.33,47.720,screen_only,1,,,00:03:57.30-00:03:59.50; 00:04:09.37-00:04:13.23; 00:04:19.31-00:04:21.45,news+sports
S03E14_S03E14-screen-03_sports.mp4,S03E14-screen-03,S03E14,sports,00:12:15.19,00:12:29.08,13.890,screen_only,0,,00:12:15.19-00:12:20.39,,sports
S03E14_S03E14-screen-04_sports.mp4,S03E14-screen-04,S03E14,sports,00:17:52.67,00:18:13.10,20.430,screen_only,0,,,,sports
S03E14_S03E14-screen-05_sports.mp4,S03E14-screen-05,S03E14,sports,00:19:41.73,00:20:30.44,37.630,screen_only,1,,00:19:45.48-00:19:46.88; 00:20:10.39-00:20:10.82,00:20:10.75-00:20:21.83; 00:20:30.44-00:20:41.99,music+sports
S03E15_S03E15-screen-03_troy_mcclure.mp4,S03E15-screen-03,S03E15,troy_mcclure,00:18:12.78,00:18:33.07,17.750,screen_only,1,,,00:18:16.08-00:18:17.64; 00:18:21.78-00:18:22.76,troy_mcclure
S03E16_S03E16-screen-01_infomercial.mp4,S03E16-screen-01,S03E16,infomercial,00:00:26,00:01:25.38,55.240,screen_only,1,,,00:00:37.36-00:00:41.50,infomercial
S03E16_S03E16-bumper-00_bumper.mp4,S03E16-bumper-00,S03E16,bumper,00:13:55.88,00:14:08.867,12.987,bezel,0,,00:13:55.880-00:14:00.520; 00:14:08.834*-00:14:08.867,,bumper
S03E19_S03E19-screen-01_kent_brockman_news.mp4,S03E19-screen-01,S03E19,kent_brockman+news,00:03:13.22,00:13:52.57,104.750,screen_only,1,,00:03:13.22-00:03:15.29; 00:03:30.40*-00:03:31.28; 00:05:16.82-00:05:50.55; 00:13:09.77-00:13:11.06; 00:13:49.40*-00:13:52.57,00:03:31.16-00:03:34.25; 00:03:38.97-00:04:59.81; 00:05:04.39-00:05:16.82; 00:05:19.43-00:05:24.63; 00:05:27.41-00:05:31.63; 00:05:34.30-00:05:50.48; 00:06:25.75-00:13:09.77; 00:13:18.46-00:13:27.08,kent_brockman+news
S03E19_S03E19-screen-04_infomercial.mp4,S03E19-screen-04,S03E19,infomercial,00:18:39.13,00:18:51.98,12.850,screen_only,0,,00:18:39.13*-00:18:51.98,,infomercial
S03E20_S03E20-music-04_music.mp4,S03E20-music-04,S03E20,music,00:14:51.94,00:15:55.48,63.540,manual,0,,,,music
S03E20_S03E20-screen-01_music.mp4,S03E20-screen-01,S03E20,music,00:16:39.42,00:17:18.72,39.300,screen_only,0,,,,music
S03E20_S03E20-screen-02_screen.mp4,S03E20-screen-02,S03E20,screen,00:18:52.06,00:19:19.42,27.360,screen_only,0,,,,screen
S03E20_S03E20-screen-03_screen.mp4,S03E20-screen-03,S03E20,screen,00:20:52.72,00:21:06.95,14.230,screen_only,1,,00:20:52.72-00:20:55.29; 00:21:21.33-00:21:57.33,00:21:06.95-00:21:14.40,screen
S03E20_S03E20-screen-05_music.mp4,S03E20-screen-05,S03E20,music,00:21:20.86,00:21:57.17,36.310,manual,0,,00:21:20.86*-00:22:04.37,,music
S03E21_S03E21-screen-01_screen.mp4,S03E21-screen-01,S03E21,screen,00:01:22,00:01:35.80,7.760,screen_only,1,,,00:01:27.89-00:01:33.93,screen
S03E21_S03E21-bumper-00_krusty.mp4,S03E21-bumper-00,S03E21,krusty,00:08:46.05,00:09:57.850,69.700,bezel,1,,00:08:46.05-00:08:48.15,00:09:48.400-00:09:50.500,krusty
S03E21_S03E21-screen-02_screen.mp4,S03E21-screen-02,S03E21,screen,00:16:01,00:16:58.21,52.470,screen_only,1,,00:16:58.062*-00:16:58.210,00:16:11.59-00:16:15.32; 00:16:37.89-00:16:38.90,screen
S03E22_S03E22-screen-01_music_not_tv.mp4,S03E22-screen-01,S03E22,music+not_tv,00:07:39.03,00:07:52.90,13.870,manual,0,,,,music
S03E22_S03E22-screen-00_kent_brockman.mp4,S03E22-screen-00,S03E22,kent_brockman,00:07:55.11,00:08:25.88,25.610,screen_only,1,,00:07:55.75*-00:08:04.01,00:08:04.01-00:08:07.93; 00:08:10.53-00:08:11.77,kent_brockman
S03E23_S03E23-troy_mcclure-00_troy_mcclure_infomercial.mp4,S03E23-troy_mcclure-00,S03E23,troy_mcclure+infomercial,00:05:51.47,00:07:11.64,72.090,mask,1,,00:06:30.11-00:06:30.80; 00:06:47.05*-00:06:52.83,00:06:25.01-00:06:30.11; 00:06:52.83-00:06:55.81,infomercial+troy_mcclure
